threshold,accuracy,precision,recall,specificity,f1,f1_macro,balanced_accuracy,fpr,fnr,tn,fp,fn,tp
0.39,0.8792990715313195,0.926944971537002,0.9007929190484971,0.8268884892086331,0.9136818479379033,0.8565366422910555,0.8638407041285652,0.1731115107913669,0.09920708095150285,1839,385,538,4885
0.4,0.8781221394010723,0.9273073263558516,0.8985801217038539,0.8282374100719424,0.9127177374040082,0.855405662462836,0.8634087658878982,0.17176258992805754,0.10141987829614604,1842,382,550,4873
0.41,0.8779913691643781,0.9279451010293557,0.8976581228102526,0.8300359712230215,0.9125503796044615,0.8554103249373659,0.8638470470166371,0.16996402877697842,0.10234187718974737,1846,378,555,4868
0.42,0.8779913691643781,0.9290902140672783,0.8963673243592107,0.83318345323741,0.9124354763022056,0.8556572725335128,0.8647753887983104,0.16681654676258992,0.10363267564078923,1853,371,562,4861
0.43,0.876814437034131,0.9294613762698869,0.8941545270145675,0.8345323741007195,0.9114661654135339,0.8545298166990316,0.8643434505576435,0.16546762589928057,0.10584547298543241,1856,368,574,4849
0.44,0.876814437034131,0.9302861532552333,0.8932325281209662,0.8367805755395683,0.9113828786453434,0.8547051614496013,0.8650065518302672,0.16321942446043167,0.10676747187903375,1861,363,579,4844
0.45,0.8756375049038839,0.9303310238645112,0.8913885303337636,0.8372302158273381,0.9104435445898861,0.853510542348419,0.8643093730805509,0.16276978417266186,0.1086114696662364,1862,362,589,4834
0.46,0.874722113247025,0.930735095504534,0.889544532546561,0.8385791366906474,0.9096737695643975,0.8526611168641101,0.8640618346186042,0.1614208633093525,0.11045546745343905,1865,359,599,4824
0.47,0.8735451811167778,0.9312814556716996,0.8871473354231975,0.8403776978417267,0.9086788176409482,0.8515763907545868,0.8637625166324621,0.1596223021582734,0.11285266457680251,1869,355,612,4811
0.48,0.8728913299333072,0.9318843392198719,0.8854877374147151,0.8421762589928058,0.9080937972768532,0.8510371487444037,0.8638319982037604,0.15782374100719423,0.1145122625852849,1873,351,621,4802
0.49,0.8718451680397542,0.932114374635285,0.8836437396275124,0.8430755395683454,0.9072321090496024,0.8500219741865348,0.8633596395979288,0.15692446043165467,0.11635626037248756,1875,349,631,4792
0.5,0.8710605466195894,0.9325404562292845,0.88198414161903,0.8444244604316546,0.9065579984836998,0.8493144273312636,0.8632043010253423,0.15557553956834533,0.11801585838096994,1878,346,640,4783
0.51,0.8709297763828953,0.9338810641627543,0.8803245436105477,0.8480215827338129,0.906312292358804,0.849457890243281,0.8641730631721802,0.15197841726618705,0.11967545638945233,1886,338,649,4774
0.52,0.8694913037792599,0.9340788699234844,0.8779273464871842,0.8489208633093526,0.9051330798479087,0.8480420321736402,0.8634241048982684,0.1510791366906475,0.12207265351281578,1888,336,662,4761
0.53,0.8690989930691775,0.9345518867924528,0.8768209478148626,0.8502697841726619,0.9047664351631624,0.8477417791538162,0.8635453659937622,0.14973021582733814,0.12317905218513737,1891,333,668,4755
0.54,0.8684451418857068,0.9356875123298481,0.8746081504702194,0.8534172661870504,0.9041174227983225,0.8473106897415186,0.8640127083286349,0.14658273381294964,0.12539184952978055,1898,326,680,4743
0.55,0.8675297502288479,0.9361155063291139,0.8727641526830168,0.8547661870503597,0.903330470464739,0.8464731272365231,0.8637651698666882,0.1452338129496403,0.12723584731698323,1901,323,690,4733
0.56,0.8673989799921538,0.9376613063331348,0.8709201548958141,0.8588129496402878,0.9030592734225621,0.8466475514816576,0.864866552268051,0.14118705035971224,0.12907984510418588,1910,314,700,4723
0.57,0.8668758990453773,0.9388324367403865,0.8688917573298912,0.8619604316546763,0.9025090978739705,0.8463493552024428,0.8654260944922838,0.13803956834532374,0.1311082426701088,1917,307,711,4712
0.58,0.8659605073885184,0.9390974440894568,0.8672321593214088,0.8628597122302158,0.9017352123478094,0.8454799853637052,0.8650459357758123,0.13714028776978418,0.13276784067859118,1919,305,720,4703
0.59,0.8643912645481888,0.9391269523428114,0.8648349621980453,0.8633093525179856,0.900451185562062,0.8439102349791037,0.8640721573580155,0.1366906474820144,0.13516503780195463,1920,304,733,4690
0.6,0.86347587289133,0.940277498491856,0.8622533652959616,0.8664568345323741,0.8995767602924202,0.8432142682638091,0.8643550999141678,0.1335431654676259,0.13774663470403836,1927,297,747,4676
0.61,0.8626912514711652,0.9409155071587013,0.860409367508759,0.8682553956834532,0.8988634174532846,0.8425506012347856,0.8643323815961061,0.13174460431654678,0.139590632491241,1931,293,757,4666
0.62,0.8617758598143063,0.940831987075929,0.8591185690577171,0.8682553956834532,0.8981204819277109,0.8416197042694054,0.8636869823705852,0.13174460431654678,0.14088143094228286,1931,293,764,4659
0.63,0.861514319340918,0.9418793033616849,0.857643370827955,0.8709532374100719,0.8977897886304411,0.8415565606440265,0.8642983041190135,0.12904676258992806,0.142356629172045,1937,287,772,4651
0.64,0.8603373872106709,0.942851332113077,0.854877374147151,0.8736510791366906,0.8967117988394584,0.8405642159316388,0.8642642266419208,0.12634892086330934,0.14512262585284896,1943,281,787,4636
0.65,0.8582450634235648,0.9432073544433095,0.851373778351466,0.875,0.8949408800155069,0.8385476104257599,0.863186889175733,0.125,0.14862622164853403,1946,278,806,4617
0.66,0.8574604420034,0.943682162604956,0.8497141803429836,0.8763489208633094,0.8942363671647584,0.8378559542319381,0.8630315506031465,0.12365107913669064,0.1502858196570164,1949,275,815,4608
0.67,0.8557604289263764,0.9438964241676943,0.8469481836621796,0.877248201438849,0.8927981339294392,0.8362092567749094,0.8620981925505142,0.12275179856115108,0.1530518163378204,1951,273,830,4593
0.68,0.8558911991630704,0.9453720882292311,0.8456573852111378,0.8808453237410072,0.8927389526961261,0.8366085201727642,0.8632513544760725,0.1191546762589928,0.15434261478886224,1959,265,837,4586
0.69,0.8552373479795998,0.9466059602649006,0.8434445878664946,0.8839928057553957,0.8920526572403705,0.8361831057585063,0.8637186968109452,0.11600719424460432,0.15655541213350543,1966,258,849,4574
0.7,0.8536681051392703,0.946843853820598,0.8408629909644109,0.8848920863309353,0.8907119835921476,0.8346734992144714,0.862877538647673,0.11510791366906475,0.15913700903558917,1968,256,863,4560
0.71,0.8524911730090231,0.9473026452822328,0.8386501936197677,0.8862410071942446,0.8896713615023474,0.8335930772008778,0.8624456004070061,0.1137589928057554,0.16134980638023233,1971,253,875,4548
0.72,0.8511834706420819,0.9475663254648005,0.8364373962751245,0.8871402877697842,0.8885406464250735,0.8323505749827964,0.8617888420224543,0.11285971223021583,0.16356260372487552,1973,251,887,4536
0.73,0.8490911468549758,0.9488958990536278,0.8320118015858381,0.8907374100719424,0.8866181961092553,0.8305256735041977,0.8613746058288902,0.10926258992805755,0.1679881984141619,1981,243,911,4512
0.74,0.847260363541258,0.9493136219640972,0.8288770053475936,0.8920863309352518,0.8850167355778696,0.8288012026799005,0.8604816681414227,0.1079136690647482,0.1711229946524064,1984,240,928,4495
0.75,0.8452988099908461,0.9497242257106492,0.8255578093306288,0.8934352517985612,0.8832988063529644,0.8269509350748727,0.859496530564595,0.10656474820143885,0.1744421906693712,1987,237,946,4477
0.76,0.8432064862037401,0.949936088623775,0.822238613313664,0.8943345323741008,0.8814866067015914,0.8249426465997816,0.8582865728438824,0.10566546762589928,0.17776138668633598,1989,235,964,4459
0.77,0.8409833921799399,0.9503318347248983,0.8185506177392587,0.89568345323741,0.8795323954824649,0.8228431208181555,0.8571170354883344,0.10431654676258993,0.18144938226074128,1992,232,984,4439
0.78,0.8388910683928338,0.9511302475780409,0.8146782223861332,0.897931654676259,0.877632101708383,0.8209438732805214,0.856304938531196,0.10206834532374101,0.18532177761386687,1997,227,1005,4418
0.79,0.8361448934222571,0.952081526452732,0.809699428360686,0.9006294964028777,0.8751370204285003,0.8184393982157714,0.8551644623817818,0.09937050359712231,0.19030057163931402,2003,221,1032,4391
0.8,0.8330064077415981,0.9530157342657343,0.804167434999078,0.9033273381294964,0.8722872287228722,0.8155581563822104,0.8537473865642872,0.09667266187050359,0.195832565000922,2009,215,1062,4361
